station,month,number of passengers
Bangsue,2017-01,407394
Bangsue,2017-02,393804
Bangsue,2017-03,459304
Bangsue,2017-04,387952
Bangsue,2017-05,429761
Bangsue,2017-06,463511
Bangsue,2017-07,456940
Bangsue,2017-08,302773
Bangsue,2017-09,164614
Bangsue,2017-10,148332
Bangsue,2017-11,152166
Bangsue,2017-12,134171
Kamphaengphet,2017-01,127461
Kamphaengphet,2017-02,126835
Kamphaengphet,2017-03,132333
Kamphaengphet,2017-04,128775
Kamphaengphet,2017-05,107238
Kamphaengphet,2017-06,121473
Kamphaengphet,2017-07,134978
Kamphaengphet,2017-08,132479
Kamphaengphet,2017-09,132701
Kamphaengphet,2017-10,132985
Kamphaengphet,2017-11,130121
Kamphaengphet,2017-12,148047
Chatuchak park,2017-01,568661
Chatuchak park,2017-02,552833
Chatuchak park,2017-03,641153
Chatuchak park,2017-04,561960
Chatuchak park,2017-05,813812
Chatuchak park,2017-06,603928
Chatuchak park,2017-07,602430
Chatuchak park,2017-08,665525
Chatuchak park,2017-09,682854
Chatuchak park,2017-10,653416
Chatuchak park,2017-11,699916
Chatuchak park,2017-12,658539
Phahonyothin,2017-01,522046
Phahonyothin,2017-02,504924
Phahonyothin,2017-03,574090
Phahonyothin,2017-04,502383
Phahonyothin,2017-05,738360
Phahonyothin,2017-06,555900
Phahonyothin,2017-07,552151
Phahonyothin,2017-08,578694
Phahonyothin,2017-09,563703
Phahonyothin,2017-10,523164
Phahonyothin,2017-11,560998
Phahonyothin,2017-12,537489
Latphrao,2017-01,514137
Latphrao,2017-02,494548
Latphrao,2017-03,567285
Latphrao,2017-04,471926
Latphrao,2017-05,797474
Latphrao,2017-06,552532
Latphrao,2017-07,536918
Latphrao,2017-08,584035
Latphrao,2017-09,568071
Latphrao,2017-10,531724
Latphrao,2017-11,571873
Latphrao,2017-12,498594
Ratchadaphisek,2017-01,147377
Ratchadaphisek,2017-02,142665
Ratchadaphisek,2017-03,165562
Ratchadaphisek,2017-04,131795
Ratchadaphisek,2017-05,235920
Ratchadaphisek,2017-06,163650
Ratchadaphisek,2017-07,155744
Ratchadaphisek,2017-08,169890
Ratchadaphisek,2017-09,161063
Ratchadaphisek,2017-10,145557
Ratchadaphisek,2017-11,161478
Ratchadaphisek,2017-12,140948
Sutthisan,2017-01,382200
Sutthisan,2017-02,370355
Sutthisan,2017-03,417631
Sutthisan,2017-04,335416
Sutthisan,2017-05,613388
Sutthisan,2017-06,410597
Sutthisan,2017-07,392239
Sutthisan,2017-08,416081
Sutthisan,2017-09,400860
Sutthisan,2017-10,366390
Sutthisan,2017-11,406525
Sutthisan,2017-12,362635
Huaikhwang,2017-01,529279
Huaikhwang,2017-02,513750
Huaikhwang,2017-03,579216
Huaikhwang,2017-04,478380
Huaikhwang,2017-05,779170
Huaikhwang,2017-06,550502
Huaikhwang,2017-07,539561
Huaikhwang,2017-08,577043
Huaikhwang,2017-09,552637
Huaikhwang,2017-10,501724
Huaikhwang,2017-11,557800
Huaikhwang,2017-12,501013
Thailand cultural centre,2017-01,576084
Thailand cultural centre,2017-02,560368
Thailand cultural centre,2017-03,648184
Thailand cultural centre,2017-04,538940
Thailand cultural centre,2017-05,881666
Thailand cultural centre,2017-06,643961
Thailand cultural centre,2017-07,614968
Thailand cultural centre,2017-08,668594
Thailand cultural centre,2017-09,655485
Thailand cultural centre,2017-10,592582
Thailand cultural centre,2017-11,657355
Thailand cultural centre,2017-12,650060
Phraram 9,2017-01,761330
Phraram 9,2017-02,742701
Phraram 9,2017-03,861486
Phraram 9,2017-04,727820
Phraram 9,2017-05,1193982
Phraram 9,2017-06,838155
Phraram 9,2017-07,808395
Phraram 9,2017-08,858292
Phraram 9,2017-09,824146
Phraram 9,2017-10,764145
Phraram 9,2017-11,832048
Phraram 9,2017-12,780612
Phetchaburi,2017-01,625019
Phetchaburi,2017-02,622913
Phetchaburi,2017-03,703533
Phetchaburi,2017-04,568002
Phetchaburi,2017-05,974954
Phetchaburi,2017-06,648110
Phetchaburi,2017-07,631009
Phetchaburi,2017-08,714151
Phetchaburi,2017-09,696976
Phetchaburi,2017-10,619821
